student_id,lrn,surname,first_name,middle_name,birth_date,birth_place,gender,nationality,religion,father_name,mother_name,address
30,408028200202,Rodriguez,James,David,2014-11-05,Manila,M,Filipino,Roman Catholic,"Rodriguez, Reynold Mendez","Rodriguez, Florinda, David","1624 España St., Sampaloc, Manila 1005"
31,,Amores,Basilio,Manzanares,2014-10-01,Caloocan,M,Filipino,Roman Catholic,,"Manzanares,Vera, Robledo","2281 Pasong Tamo St., Makati Avenue,Makati City"
32,408028212325,Bonet,Abril,Pedro,2015-10-20,Manila,F,Filipino,Roman Catholic,,"Pedro,Natalia, Bastida","37 E. Rodriguez Sr. Avenue, Quezon City"
33,408028173536,Dalmau,Edgar ,Camino,2011-02-05,Malabon,M,Filipino,Christian,,"Camino,Beatriz, Redondo",1242 General Luna St. Manila 
34,,Molina,Bibiana,Leiva,2012-12-11,Valenzuela,F,Filipino,Iglesia ni Cristo,,"Leiva,Roberta, Santana","Gf Marina Building 284-D Vito Cruz,Malabon City"
35,408028171313,Silvio,Lloret,Ruiz,2011-02-02,Cavite,M,Filipino,Christian,,"Ruiz,Nicolasa, Margarita","54 12th Street, New Manila,Caloocan City"
36,,Corbacho,Ximena,Company,2011-02-08,Manila,F,Filipino,Iglesia ni Cristo,,"Company,Serafina, Canales","Unit 408 Antonio Center, Prime Street, Madrigal Business Park, Muntinlupa City"
37,40802818432,Pedrosa,Renato,Cisneros,2013-12-04,Laguna,M,Filipino,Christian,,"Cisneros,Martina, Amo"," Maharlika Highway corner Dalahican Road,Manila"
38,408028173333,Malo,Marisol,Morcillo,2011-02-10,Batangas,F,Filipino,Roman Catholic,,"Morcillo,Alejandra, Iglesias","1142 Anacleto St.cor. 1570 Mayhaligue St. Sta.Cruz,Malabo City"
39,408028172222,Pelayo,Gustavo,Esteban,2011-02-13,Caloocan,M,Filipino,Christian,,"Esteban,Malena, Blanch","Forum Robinsons, 30 EDSA Corner Shaw Boulevard,Mandaluyong City"
40,408028185406,Lasa,Marina,Paz,2013-12-05,Manila,F,Filipino,Roman Catholic,,"Paz,Calista, de Sole","2259-E Pres Quirino Avenue 1000,Quezon City"
41,408028186269,Paredes,Zafar,Muro,2012-08-10,Bulacan,M,Filipino,Islam,,"Muro,Carla, de Anglada","116 Hoover St., Brgy. Addition Hills, San Juan"
42,,Terron,Anabel,Chaparro,2012-08-26,Caloocan,F,Filipino,Roman Catholic,,"Chaparro,Virginia, Bonilla"," 323 M De Binondo 1000,Caloocan City"
43,408028183275,Sanmiguel,Wajih,Uriarte,2012-10-22,Quezon City,M,Filipino,Islam,,"Uriarte,Lina, Garcia","Ortigas Commercial Complex, 6 ADB Avenue,Mandaluyong City"
44,408028197534,Martin,Emiliana,Andres,2014-02-15,Rizal,F,Filipino,Roman Catholic,,"Andres,Rosa, Muñiz","Hangar 10 Manila Domestic Airport 1300,Pasay City"
45,408028196874,Miguel,Qamar,Pinto,2014-05-01,Cavite,M,Filipino,Islam,,"Pinto,Candelas, de Gras","505 Pres. E. P. Quirino Avenue,Valenzuela"
46,,Barranco,Laura,Somoza,2014-06-07,Bulacan,F,Filipino,Roman Catholic,,"Somoza,Imelda, Llano","Tierra Commercial Center, Tandang Sora Avenue, Novaliches"
47,408028212896,Villalobos,Martin,Balaguer,2015-03-11,San Juan City,M,Filipino,Roman Catholic,,"Balaguer,Laura, Alfonso"," 6/F One Corporate Plaza 845 A. Arnaiz Avenue 1200,Makati City"
48,408028210829,Cuadrado,Rosa,Alfonso,2015-05-31,Pasig,F,Filipino,Iglesia ni Cristo,,"Alfonso,Candela, Enríquez"," 2438 G. Del Pilar Street, Singalong,Malabon"
49,,Barcelo,Jose Luis,Viñas,2011-07-12,Laguna,M,Filipino,Roman Catholic,,"Viñas,Dolores, Botella","Aurora Tower 1100,Quezon City"
50,408028171694,Carretero,Palmira,Mercado,2011-10-02,Malabon,F,Filipino,Christian,,"Mercado,Palmira, Susana","40 Lourdes St. Aba Homes, 1870,Manila"
